system:index,distance_dep,distance_nac,distance_vec,elevation,first,landform,latitude,longitude,lossyear,offset,price_after,price_before,price_dif,scale,slope,.geo
1_1_1_1_1715,15730.01819351027,27953.489542664927,1725.0612510532064,305,1,34,-12.857124999999996,-70.57362499999999,1,-67.0,1571.5,1224.5,347.0,40.2,2.1157467,
1_1_1_1_1716,12965.266541191155,28798.895640981387,1961.081535733515,349,1,31,-12.897625000000005,-70.59887499999999,0,-28.5,1571.5,1224.5,347.0,20.7,1.3285149,
1_1_1_1_1717,35823.34510458818,5423.786757246817,6639.648191163218,255,1,34,-12.937125000000009,-70.032125,1,-119.5,1571.5,1224.5,347.0,71.7,0.92740995,
1_1_1_1_1718,9933.22706910235,26068.91466699446,739.798561350962,295,1,34,-12.777625,-70.488875,0,-22.0,1571.5,1224.5,347.0,15.1,3.399136,
1_1_1_1_1719,11685.542136126922,18735.687083218636,12348.079252744357,347,1,31,-13.013874999999999,-70.641375,1,-8.5,1571.5,1224.5,347.0,5.1,5.627611,
1_1_1_1_1720,12645.676655084197,25890.883224421388,1170.4754194426857,290,1,21,-12.800125000000008,-70.505875,0,0.0,1571.5,1224.5,347.0,0.0,2.937966,
1_1_1_1_1721,8464.422473841545,32304.53504498488,3014.970377296693,279,1,21,-12.695125000000004,-70.485875,0,6.5,1571.5,1224.5,347.0,-1.3,1.3279686,
1_1_1_1_1722,38091.79270371683,3445.440330837883,5853.7445169420325,259,1,34,-12.922375000000002,-70.010625,0,-16.5,1571.5,1224.5,347.0,9.9,3.911648,
1_1_1_1_1723,11146.510774204327,33333.36566921935,312.44951545334686,281,1,24,-12.707625000000007,-70.514375,0,4.0,1571.5,1224.5,347.0,0.9,2.9966106,
1_1_1_1_1724,31285.40571168023,1841.629589765118,5689.817064881043,260,1,24,-12.916125000000008,-70.072625,1,-5.5,1571.5,1224.5,347.0,3.3,1.3285656,
1_1_1_1_1725,12773.758265833425,23508.048711472144,1614.6665776129607,298,1,34,-12.874875000000003,-70.537125,0,-25.5,1571.5,1224.5,347.0,15.3,2.0838206,
1_1_1_1_1726,19307.245536347375,29798.582137663863,3283.714605134129,304,1,24,-12.821875000000006,-70.57187499999999,0,10.0,1571.5,1224.5,347.0,2.8,2.1155071,
1_1_1_1_1727,39555.5574113224,1939.4856224146708,5861.116442471474,255,1,34,-12.910624999999996,-69.997125,0,-108.0,1571.5,1224.5,347.0,64.8,4.7041855,
1_1_1_1_1728,36406.74342728254,4145.716885754039,5514.250916338044,254,1,24,-12.925624999999997,-70.026125,0,-117.5,1571.5,1224.5,347.0,70.5,2.6557555,
1_1_1_1_1729,11920.009077657533,25420.08431510718,6705.587063106472,328,1,31,-12.950625000000002,-70.633875,0,-53.5,1571.5,1224.5,347.0,32.1,4.7475967,
1_1_1_1_1730,13828.118163743015,22185.238578663884,4156.795908961584,287,1,41,-12.840874999999997,-70.498625,0,12.5,1571.5,1224.5,347.0,-3.3,3.7047918,
1_1_1_1_1731,16092.293727950526,26781.243798765874,273.97896166594046,294,1,21,-12.816375000000008,-70.532875,0,-9.5,1571.5,1224.5,347.0,9.1,2.1154695,
1_1_1_1_1732,31661.28338221326,653.434257533577,4291.067511108126,258,1,34,-12.901125000000008,-70.069375,0,-47.0,1571.5,1224.5,347.0,28.3,0.92740995,
1_1_1_1_1733,11285.85735826194,29887.847006675773,2132.3739005296784,283,1,21,-12.752875000000003,-70.513625,1,-2.5,1571.5,1224.5,347.0,3.7,2.6548212,
1_1_1_1_1734,15820.600570448265,27732.668357173716,1424.584311628308,304,1,24,-12.854875000000007,-70.570125,0,-40.0,1571.5,1224.5,347.0,24.1,4.834748,
1_1_1_1_1735,12826.020809421405,20266.593895954855,12321.357798158218,333,1,31,-13.002375,-70.652875,0,0.0,1571.5,1224.5,347.0,0.2,2.1167412,
1_1_1_1_1736,5488.974593215105,38660.4768413377,3480.9331362471526,261,1,21,-12.606625000000008,-70.452125,1,0.0,1571.5,1224.5,347.0,0.3,1.8543341,
