system:index,0_mined,0_mined_1,1_mined,1_neighbors,2_mined,2_neighbors,3_mined,3_neighbors,4_mined,4_neighbors,altitude,classification,clay,distance_any,distance_buffer,distance_dep,distance_nac,distance_parks,distance_ponds,distance_rivers,distance_vec,distance_villages,landform,latitude,longitude,offset,sand,scale,slope,year,.geo
2_2910,1,0,0,1,0,0,0,0,0,7,695,0.6830787965504572,39,2789.078815778608,10001.331675394533,2789.078815778608,17279.181333914883,12531.122020855215,27728.996851784057,223.5918610157803,7410.307890448953,5660.010570330236,41,-13220,-70792,6.5,38,-1.8,13.114334,2017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.79266977040965,-13.220587124205862]}"
2_2911,1,3,1,22,0,0,0,0,0,0,247,0.9484488015973103,35,9949.36344501182,9868.60428921879,9949.36344501182,39173.364346225724,21115.5007500368,5220.940041505188,1118.2025000216588,10909.439412137976,5001.753656043267,24,-12562,-70307,-11.0,35,6.6,2.9376807,2017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.30706255996226,-12.562568960209772]}"
2_2912,1,0,0,0,0,0,0,10,0,0,217,0.791055892454205,37,1432.2948833297214,4831.843722412025,37800.964925783475,5055.521438548649,21295.178953374634,2901.0386030803693,1237.374681154621,1432.2948833297214,6532.2697098711415,21,-12690,-69536,5.0,38,-1.0,1.9914877,2017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.53635388880411,-12.690277841083773]}"
2_2913,1,0,0,12,0,0,0,0,0,0,594,0.8534802310372964,39,4947.663937405207,7494.569621305399,8732.013740532235,8499.892089158764,8405.843556624017,27393.812181939466,0.0,4947.663937405207,7211.011003146507,41,-13172,-70685,-6.0,33,3.6,13.691293,2017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.68522675530612,-13.172507140577231]}"
2_2914,1,0,0,0,0,0,0,0,0,0,205,0.2599232893950666,34,141.4733300838006,5410.3145306268925,30351.387668157982,5568.013572237859,22345.845719373938,4663.257975419385,1315.7780285110782,141.4733300838006,14181.95161827613,42,-12660,-69472,0.0,35,0.0,1.9561906,2017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.47330238753084,-12.660285613979724]}"
2_2915,1,0,0,0,0,0,0,0,0,0,213,0.20595905957462599,34,13414.394556315241,32189.330508143536,31015.26918511268,25497.672251599754,40079.34489391013,9144.571736828359,0.0,13414.394556315241,12262.284720332505,41,-12398,-69389,0.0,39,0.0,6.76755,2017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.38892337346462,-12.398089225356966]}"
2_2916,1,0,0,0,0,0,0,0,0,0,421,0.1619373609897284,32,282.8681229831315,7433.029391674701,12481.906501888043,282.8681229831315,14095.591329272958,42239.44288868966,316.2561758290263,5794.482902673456,13529.334226390261,31,-13181,-70461,0.0,39,0.0,11.914233,2017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.46138976016128,-13.180931244553738]}"
2_2917,1,0,0,0,0,0,0,0,0,0,850,0.15754400604830474,38,5161.740900701678,0.0,5161.740900701678,25441.182645532033,1799.7828091623305,22473.05276438386,0.0,21095.795407914302,13842.100751259102,41,-13121,-70892,0.0,37,0.0,10.906452,2017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.89209892653969,-13.121716216576583]}"
2_2918,1,0,0,8,0,7,0,1,0,0,382,0.8664410348745043,40,11822.334120371957,0.0,15420.631945216894,24256.954244942026,3231.070959135492,12442.560986875225,99.99913573845276,11822.334120371957,7500.60181166214,21,-12973,-70675,-3.5,35,3.0,6.631058,2017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.67557938704175,-12.973256605856195]}"
2_2919,1,0,0,9,0,2,0,0,0,0,206,0.9144565786480087,32,1118.4568837381485,10677.368425787321,20542.859289426004,8992.282055323887,25514.54868749519,6260.961396884767,2717.64309794581,1118.4568837381485,20282.036809179353,21,-12596,-69387,-4.5,41,2.9,5.974678,2017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.38728694577513,-12.596673017700306]}"
