system:index,distance_dep,distance_nac,distance_vec,elevation,first,landform,latitude,longitude,lossyear,offset,price_after,price_before,price_dif,scale,slope,.geo
2_1593,12436.85952865947,22478.511395035548,2698.064529133642,303,1,34,-12.876625000000004,-70.52737499999999,0,-16.0,1160.1,1266.4,-106.30000000000018,11.9,2.0838234,
2_1594,37675.30153843124,4080.1478172901407,2021.5945975385064,253,1,24,-12.842624999999998,-70.02137499999999,0,261.5,1160.1,1266.4,-106.30000000000018,-50.0,0.95120025,
2_1595,42830.748966270934,12960.396281647552,16544.27037219948,230,1,42,-13.016625000000005,-69.981375,1,-3.0,1160.1,1266.4,-106.30000000000018,8.5,2.116839,
2_1596,23202.91376901301,31751.269599845724,4880.587075231173,236,1,31,-12.620125000000002,-70.174125,0,0.0,1160.1,1266.4,-106.30000000000018,10.2,5.9748936,
2_1597,43319.09587292092,2657.0538112143076,9626.0870815248,255,1,34,-12.921374999999998,-69.962875,0,-3.0,1160.1,1266.4,-106.30000000000018,42.3,4.162303,
2_1598,46163.6005267543,8198.616545298111,15814.873309264474,249,1,41,-12.985124999999996,-69.943125,1,-15.5,1160.1,1266.4,-106.30000000000018,9.7,2.938193,
2_1599,6697.1517379679535,32121.79013531837,4819.312558042328,288,1,21,-12.681125000000009,-70.463625,1,1.0,1160.1,1266.4,-106.30000000000018,2.2,0.92740995,
2_1600,48103.27016462037,8742.350718420206,8231.208615223768,237,1,41,-12.817875,-69.929375,0,62.5,1160.1,1266.4,-106.30000000000018,-10.9,5.493226,
2_1601,47339.05631427215,8221.194819653365,16346.714397703829,247,1,41,-12.987375,-69.932625,1,0.0,1160.1,1266.4,-106.30000000000018,0.0,2.116638,
2_1602,43484.67386778863,2712.3891017481665,9795.603632124985,258,1,24,-12.921875,-69.961375,1,-53.0,1160.1,1266.4,-106.30000000000018,43.5,1.3285815,
2_1603,27156.55673485765,12878.599839915438,14622.210765487862,279,1,34,-13.031374999999997,-70.128625,0,74.0,1160.1,1266.4,-106.30000000000018,-22.2,0.92740995,
2_1604,1628.9698452064106,4540.686315478771,3213.085176195506,358,1,21,-13.032375000000002,-70.389625,0,54.5,1160.1,1266.4,-106.30000000000018,3.0,2.084095,
2_1605,9553.659318563914,25936.261096615563,788.911794201837,285,1,34,-12.775875,-70.485875,0,5.5,1160.1,1266.4,-106.30000000000018,27.6,4.22464,
2_1606,6410.695738266855,13398.581341292387,3637.1748233760745,532,1,21,-13.054874999999996,-70.516875,0,34.5,1160.1,1266.4,-106.30000000000018,-3.1,6.3283434,
