system:index,altitude,classification,clay,cluster,distance_any,distance_buffer,distance_dep,distance_nac,distance_parks,distance_ponds,distance_rivers,distance_vec,distance_villages,landform,latitude,longitude,mined,sand,slope,type,.geo
1818,214,0.7060602534748015,36,8,4598.351262464385,12258.279648682865,41630.22764369678,12436.981787767392,28610.911984058985,3863.9972305445885,990.296930100071,4598.351262464385,8959.146806095101,21,-12637,-69580,1,33,2.083413,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.58057867897112,-12.636879175830432]}"
1819,209,0.38696717842871375,33,9,2942.1953855112065,6241.7397698472005,22384.303110225897,5632.394780801224,23357.02261261422,9507.261089803282,5637.722603005357,2942.1953855112065,22295.83035620026,42,-12634,-69402,1,35,8.078416,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.40285942675577,-12.634494037472248]}"
1820,212,0.8353532933571594,31,13,4520.386396950417,12762.474054936594,48623.219263535044,12707.07616565225,26609.04739691171,4221.624972588125,500.17006385172385,4520.386396950417,7509.883202476837,31,-12672,-69641,1,34,5.234468,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.6414385000059,-12.672005244891526]}"
1821,207,0.6493959448550419,33,9,4259.465977453739,11009.413477082919,35558.395502358486,11111.201767309745,27523.533692707293,200.07196947286243,2236.872620667916,4259.465977453739,12375.385323230848,31,-12625,-69525,1,40,11.278669,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.52530703797271,-12.625238367443503]}"
1822,202,0.3593520699780155,33,9,200.07511284827507,9603.605416717204,23012.117281666116,9103.417634596515,26808.945274888254,8810.691004543234,4124.654116654056,200.07511284827507,22906.63453326623,21,-12603,-69410,1,38,1.6843836,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.41017690196834,-12.603737477583527]}"
1823,202,0.4285639798738204,37,9,3179.2465357622473,13329.056116435182,22485.56409095136,12274.910179152024,28493.001308572468,7811.909975969786,565.8984559971868,3179.2465357622473,21072.120164393906,31,-12570,-69401,1,38,1.4251089,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.40183857842892,-12.570291792260704]}"
1824,224,0.7327440796858492,30,13,5234.329830028984,15236.610156544008,52806.943460649665,15216.894888217585,27473.289312786383,1265.3316017945651,1166.5780955962614,5234.329830028984,11377.874850055068,24,-12666,-69680,1,38,1.9913921,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.68102284033105,-12.666481422537647]}"
1825,215,0.6215802991048321,32,8,3982.6441093276835,10093.739328554731,34595.87120021062,10217.895807188606,26657.70381439951,800.2890102956557,1628.4701529541462,3982.6441093276835,12500.913966586602,21,-12630,-69515,1,38,1.914181,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.51611034658805,-12.630681891782618]}"
1826,197,0.5247544192723271,31,9,1393.3702902046534,17368.940414798264,18653.29401540114,13505.521672287414,26290.058055517868,5217.351938483736,4320.212401643292,1393.3702902046534,15826.276695143746,41,-12542,-69356,1,39,3.9061341,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.3566915800644,-12.542322814527928]}"
1827,244,0.6886967217327149,33,12,11478.136923532129,30326.59366835304,29420.207279423743,31396.83388653437,41236.316280195926,500.1093874484486,1029.7882566409587,11478.136923532129,6081.626261564547,21,-12602,-70114,1,40,2.7512035,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.11446095922248,-12.602633384175062]}"
