system:index,altitude,carbon_density,distance_any,distance_buffer,distance_dep,distance_nac,distance_parks,distance_vec,distance_villages,first,landform,latitude,longitude,lossyear,offset,price_after,price_before,price_dif,scale,slope,.geo
1_1_1_1_1789,253,88.55611,2926,2870,34481,2926,17441,1064,4872,1,34,-12.851747612255936,-70.04927838271412,0,0.5,1571.5,1224.5,347.0,0.9,1.0582156,
1_1_1_1_1790,304,53.28184,11735,8424,11735,17848,14875,8218,14926,1,41,-12.874205494358923,-70.47507982738676,0,-0.5,1571.5,1224.5,347.0,1.9,6.575535,
1_1_1_1_1791,273,95.774216,12544,0,27400,12544,4257,14415,16555,1,34,-13.028715723227482,-70.12743181243252,0,-12.5,1571.5,1224.5,347.0,9.5,3.4544778,
1_1_1_1_1792,296,42.006886,14960,660,14960,28195,12600,660,21046,1,24,-12.796052064640525,-70.5316736902863,0,16.0,1571.5,1224.5,347.0,-3.8,0.46373534,
1_1_1_1_1793,259,48.12547,4132,4178,41642,4132,17031,5828,4735,1,21,-12.852645927540056,-69.98280305168927,0,4.5,1571.5,1224.5,347.0,3.3,1.6849108,
1_1_1_1_1794,234,107.01813,15163,15195,57200,15163,26841,2561,9237,1,24,-12.743051462877474,-69.85703891191254,0,-2.5,1571.5,1224.5,347.0,3.1,1.9567875,
1_1_1_1_1795,317,0.5225432,9768,1064,9768,27353,5430,2178,4921,1,31,-12.929901041974334,-70.59365744489054,0,-14.5,1571.5,1224.5,347.0,14.6,2.9990034,
1_1_1_1_1796,306,16.114431,15047,0,15047,27210,5028,1087,12887,1,24,-12.86162908038125,-70.5685046169352,0,-19.5,1571.5,1224.5,347.0,14.4,1.9921808,
1_1_1_1_1797,246,1.8430182,6497,6595,45355,6497,19146,9537,6025,1,21,-12.835577937141784,-69.9513620167451,0,40.0,1571.5,1224.5,347.0,-5.8,0.66426283,
1_1_1_1_1798,297,47.80106,16133,660,16133,27887,11277,1152,19690,1,24,-12.80683184804996,-70.53796189727514,0,-1.5,1571.5,1224.5,347.0,5.6,0.47556543,
1_1_1_1_1799,252,73.595894,2734,0,39377,2734,10037,6265,2757,1,34,-12.91822294328078,-69.99897272680342,1,-4.0,1571.5,1224.5,347.0,2.4,1.0422927,
1_1_1_1_1800,323,87.79007,9295,9741,9295,17541,17207,6863,17192,1,21,-12.857137503960653,-70.45531689113614,1,-2.0,1571.5,1224.5,347.0,1.2,2.36567,
1_1_1_1_1801,287,74.7041,15101,0,15101,30283,12902,768,22416,1,42,-12.778984074242254,-70.54155515841161,0,12.5,1571.5,1224.5,347.0,-2.4,1.3909631,
1_1_1_1_1802,285,86.45553,3535,10848,3535,26324,16482,7398,8886,1,41,-12.6936441222509,-70.36458704744007,1,0.0,1571.5,1224.5,347.0,0.0,1.956428,
1_1_1_1_1803,258,102.48127,7534,0,38568,7534,5421,9772,7588,1,34,-12.961342076918518,-70.00975251021286,0,0.0,1571.5,1224.5,347.0,0.0,0.9516519,
