system:index,cluster,sum,year,.geo
2_12,13.0,3.830358907910156E7,2013.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-70.9298385399701,-13.250798890849618],[-68.8973678368451,-13.250798890849618],[-68.8973678368451,-12.348210982418081],[-70.9298385399701,-12.348210982418081],[-70.9298385399701,-13.250798890849618]]]}"
3_0,1.0,2.6260697775390625E7,2014.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-70.9298385399701,-13.250798890849618],[-68.8973678368451,-13.250798890849618],[-68.8973678368451,-12.348210982418081],[-70.9298385399701,-12.348210982418081],[-70.9298385399701,-13.250798890849618]]]}"
3_1,2.0,1.4701437919921875E7,2014.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-70.9298385399701,-13.250798890849618],[-68.8973678368451,-13.250798890849618],[-68.8973678368451,-12.348210982418081],[-70.9298385399701,-12.348210982418081],[-70.9298385399701,-13.250798890849618]]]}"
3_2,3.0,4.081980581542969E7,2014.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-70.9298385399701,-13.250798890849618],[-68.8973678368451,-13.250798890849618],[-68.8973678368451,-12.348210982418081],[-70.9298385399701,-12.348210982418081],[-70.9298385399701,-13.250798890849618]]]}"
3_3,4.0,3.0993848784179688E7,2014.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-70.9298385399701,-13.250798890849618],[-68.8973678368451,-13.250798890849618],[-68.8973678368451,-12.348210982418081],[-70.9298385399701,-12.348210982418081],[-70.9298385399701,-13.250798890849618]]]}"
3_4,5.0,3.6054601048828125E7,2014.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-70.9298385399701,-13.250798890849618],[-68.8973678368451,-13.250798890849618],[-68.8973678368451,-12.348210982418081],[-70.9298385399701,-12.348210982418081],[-70.9298385399701,-13.250798890849618]]]}"
3_5,6.0,2.5094998513671875E7,2014.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-70.9298385399701,-13.250798890849618],[-68.8973678368451,-13.250798890849618],[-68.8973678368451,-12.348210982418081],[-70.9298385399701,-12.348210982418081],[-70.9298385399701,-13.250798890849618]]]}"
3_6,7.0,2.54787479453125E7,2014.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-70.9298385399701,-13.250798890849618],[-68.8973678368451,-13.250798890849618],[-68.8973678368451,-12.348210982418081],[-70.9298385399701,-12.348210982418081],[-70.9298385399701,-13.250798890849618]]]}"
3_7,8.0,2.5827022782226562E7,2014.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-70.9298385399701,-13.250798890849618],[-68.8973678368451,-13.250798890849618],[-68.8973678368451,-12.348210982418081],[-70.9298385399701,-12.348210982418081],[-70.9298385399701,-13.250798890849618]]]}"
3_8,9.0,1.2779460578125E7,2014.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-70.9298385399701,-13.250798890849618],[-68.8973678368451,-13.250798890849618],[-68.8973678368451,-12.348210982418081],[-70.9298385399701,-12.348210982418081],[-70.9298385399701,-13.250798890849618]]]}"
3_9,10.0,2.8043959310546875E7,2014.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-70.9298385399701,-13.250798890849618],[-68.8973678368451,-13.250798890849618],[-68.8973678368451,-12.348210982418081],[-70.9298385399701,-12.348210982418081],[-70.9298385399701,-13.250798890849618]]]}"
3_10,11.0,3.695841026171875E7,2014.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-70.9298385399701,-13.250798890849618],[-68.8973678368451,-13.250798890849618],[-68.8973678368451,-12.348210982418081],[-70.9298385399701,-12.348210982418081],[-70.9298385399701,-13.250798890849618]]]}"
3_11,12.0,2.5592966771484375E7,2014.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-70.9298385399701,-13.250798890849618],[-68.8973678368451,-13.250798890849618],[-68.8973678368451,-12.348210982418081],[-70.9298385399701,-12.348210982418081],[-70.9298385399701,-13.250798890849618]]]}"
3_12,13.0,4.852870824316406E7,2014.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-70.9298385399701,-13.250798890849618],[-68.8973678368451,-13.250798890849618],[-68.8973678368451,-12.348210982418081],[-70.9298385399701,-12.348210982418081],[-70.9298385399701,-13.250798890849618]]]}"
4_0,1.0,1.9190224521484375E7,2015.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-70.9298385399701,-13.250798890849618],[-68.8973678368451,-13.250798890849618],[-68.8973678368451,-12.348210982418081],[-70.9298385399701,-12.348210982418081],[-70.9298385399701,-13.250798890849618]]]}"
4_1,2.0,1.34808169765625E7,2015.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-70.9298385399701,-13.250798890849618],[-68.8973678368451,-13.250798890849618],[-68.8973678368451,-12.348210982418081],[-70.9298385399701,-12.348210982418081],[-70.9298385399701,-13.250798890849618]]]}"
4_2,3.0,3.7469498189453125E7,2015.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-70.9298385399701,-13.250798890849618],[-68.8973678368451,-13.250798890849618],[-68.8973678368451,-12.348210982418081],[-70.9298385399701,-12.348210982418081],[-70.9298385399701,-13.250798890849618]]]}"
4_3,4.0,1.9782422890625E7,2015.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-70.9298385399701,-13.250798890849618],[-68.8973678368451,-13.250798890849618],[-68.8973678368451,-12.348210982418081],[-70.9298385399701,-12.348210982418081],[-70.9298385399701,-13.250798890849618]]]}"
4_4,5.0,2.1282766181640625E7,2015.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-70.9298385399701,-13.250798890849618],[-68.8973678368451,-13.250798890849618],[-68.8973678368451,-12.348210982418081],[-70.9298385399701,-12.348210982418081],[-70.9298385399701,-13.250798890849618]]]}"
4_5,6.0,1.6363222305664062E7,2015.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-70.9298385399701,-13.250798890849618],[-68.8973678368451,-13.250798890849618],[-68.8973678368451,-12.348210982418081],[-70.9298385399701,-12.348210982418081],[-70.9298385399701,-13.250798890849618]]]}"
4_6,7.0,9933377.66796875,2015.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-70.9298385399701,-13.250798890849618],[-68.8973678368451,-13.250798890849618],[-68.8973678368451,-12.348210982418081],[-70.9298385399701,-12.348210982418081],[-70.9298385399701,-13.250798890849618]]]}"
4_7,8.0,4.893355796777344E7,2015.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-70.9298385399701,-13.250798890849618],[-68.8973678368451,-13.250798890849618],[-68.8973678368451,-12.348210982418081],[-70.9298385399701,-12.348210982418081],[-70.9298385399701,-13.250798890849618]]]}"
4_8,9.0,3.0622950115234375E7,2015.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-70.9298385399701,-13.250798890849618],[-68.8973678368451,-13.250798890849618],[-68.8973678368451,-12.348210982418081],[-70.9298385399701,-12.348210982418081],[-70.9298385399701,-13.250798890849618]]]}"
4_9,10.0,2.1811006530273438E7,2015.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-70.9298385399701,-13.250798890849618],[-68.8973678368451,-13.250798890849618],[-68.8973678368451,-12.348210982418081],[-70.9298385399701,-12.348210982418081],[-70.9298385399701,-13.250798890849618]]]}"
4_10,11.0,4.2021083951171875E7,2015.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-70.9298385399701,-13.250798890849618],[-68.8973678368451,-13.250798890849618],[-68.8973678368451,-12.348210982418081],[-70.9298385399701,-12.348210982418081],[-70.9298385399701,-13.250798890849618]]]}"
4_11,12.0,1.1776193165039062E7,2015.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-70.9298385399701,-13.250798890849618],[-68.8973678368451,-13.250798890849618],[-68.8973678368451,-12.348210982418081],[-70.9298385399701,-12.348210982418081],[-70.9298385399701,-13.250798890849618]]]}"
4_12,13.0,5.079126819921875E7,2015.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-70.9298385399701,-13.250798890849618],[-68.8973678368451,-13.250798890849618],[-68.8973678368451,-12.348210982418081],[-70.9298385399701,-12.348210982418081],[-70.9298385399701,-13.250798890849618]]]}"
