system:index,altitude,classification,clay,cluster,distance_any,distance_buffer,distance_dep,distance_nac,distance_parks,distance_ponds,distance_rivers,distance_vec,distance_villages,landform,latitude,longitude,mined,random,sand,slope,type,.geo
1793_0,268,0.6605301514251429,36,0,3450.589422305469,17019.86593130975,15283.235876806484,27787.790385635497,26600.73759202787,5054.329370321541,121.76280740475906,3450.589422305469,7601.134058778492,26,-12660,-70254,0,0.8826655466971187,36,3.7119524,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.25282003280053,-12.659883196659642]}"
1799_0,277,0.26268924410828487,37,0,820.2763992964909,3825.008952635576,19616.04150383262,3868.2558209164195,19632.354257506107,8446.624820026525,3385.6059237793124,820.2763992964909,13692.748419691896,26,-12877,-70181,0,0.9620314214688176,35,1.5399599,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.1820122620509,-12.877194109444055]}"
1807_0,274,0.399510102250545,38,0,8573.994184324936,26969.433328498908,25753.47757488447,22120.339221674527,34641.73230134,3551.350233943522,487.16543137461235,8573.994184324936,10231.1808795854,21,-12446,-69369,0,0.9420272501059815,40,2.681956,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.36852078809216,-12.44554790445707]}"
1812_0,294,0.6711391244078267,36,0,654.4844483345901,6960.46619160897,654.4844483345901,27351.0687133602,13158.850121424588,13565.297340063506,83.84792424994312,5851.9214813613535,9552.876079967698,25,-12703,-70412,0,0.8783238035865321,37,2.075856,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.41325541776993,-12.702473857645106]}"
1823_0,233,0.03831730432649079,37,0,45709.5963597776,40172.96613111679,53734.95115977052,56684.435612054695,0.0,13226.386660139497,64.0420995278276,45709.5963597776,58445.24997064568,25,-13108,-69049,0,0.8672781565239666,35,2.4795582,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.04843423282645,-13.107732443062234]}"
1835_0,564,0.18305060673234766,41,0,7235.548569322076,3759.7515591840197,7235.548569322076,20436.802277019182,0.0,12881.145333326234,172.64986697861204,18009.736856794927,8894.433410519523,33,-13055,-70742,0,0.926379525016054,33,14.133883,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74162232686143,-13.053043369690732]}"
1837_0,216,0.010998715329100295,34,0,49198.05777942972,46700.94007774749,55720.14817846781,60159.666032504014,0.0,4455.70985453528,745.4249794074311,49198.05777942972,60331.931676072585,37,-13076,-68920,0,0.9871368083087951,39,1.6173426,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.92205419868148,-13.075171684326914]}"
1843_0,360,0.006215626645542658,36,0,33173.36597897918,7269.289699835658,33173.36597897918,61786.469418276276,0.0,12966.652729972919,502.46072581913535,33876.83535501911,35665.77813781937,24,-12707,-70906,0,0.9136321576143024,39,2.1737013,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.90493675423716,-12.704822719639862]}"
1844_0,813,0.14151945569664054,38,0,7786.729379106166,3038.606333579284,7786.729379106166,19586.21961325983,0.0,13397.193779332263,699.5162737761408,17845.85863388771,9296.84383664802,17,-13055,-70731,0,0.8066225173846141,37,19.6303,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.73055919302965,-13.053117618596856]}"
1862_0,268,0.007674400623933421,38,0,23130.945252875907,30576.861553898078,67419.26474589635,46184.68108836669,0.0,1953.925696681352,225.45212357596768,23130.945252875907,57405.56450176041,28,-13223,-69474,0,0.8788462960237075,39,3.364347,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.47486920980147,-13.221232820206154]}"
1870_0,229,0.008258115399818317,35,0,22599.595316950523,16916.215370181024,32366.132904063077,33629.0428114019,0.0,5867.260864107777,100.03959543249292,22599.595316950523,36911.187343338286,32,-12931,-69170,0,0.813703346869641,36,2.072453,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.1710112291042,-12.928635443403186]}"
1875_0,285,0.03136439271901098,35,0,42555.135263914504,368.1782578119142,46427.813487626045,76925.22753438397,0.0,4258.5763315332515,1684.4003461030343,42555.135263914504,10982.910145831895,36,-12397,-70763,0,0.882211121939471,34,1.6790246,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.76473759626289,-12.396654834695292]}"
1884_0,303,0.013620641924540629,38,0,33287.81256602721,0.0,37455.877448661326,67556.8971630807,1265.4693888666523,4390.491945952086,2199.3701242282027,33287.81256602721,19399.418854044376,24,-12462,-70708,0,0.850618885478435,36,5.007836,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.70998938451494,-12.462089138986416]}"
1887_0,249,0.008658170475020575,33,0,60044.80289519185,52643.63144038529,68864.84486390038,71089.63113854078,0.0,11056.001055569888,81.68573254555311,60044.80289519185,73553.79292976108,24,-13249,-69053,0,0.9604577316772642,38,1.6066027,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.05492358094294,-13.248795520669573]}"
1891_0,284,0.08591849842311292,32,0,36246.80058794273,0.0,39211.55396282523,71359.32359737666,8199.76354889239,3849.021955794008,1886.1201463558907,36246.80058794273,14849.679419452488,36,-12394,-70675,0,0.9920846229791083,40,2.3121076,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.67642428084874,-12.391790897853687]}"
1894_0,193,0.2544372358543012,37,0,9115.967179875735,0.0,30395.425201117974,18028.266328157933,1344.7179337944174,2657.6125810652484,1019.0023098813726,9115.967179875735,28967.175110804397,37,-12848,-69359,0,0.9034398934523097,33,4.103937,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.35803804981668,-12.847062234544977]}"
1895_0,236,0.14252786673270149,38,0,4933.042029856897,0.0,49896.47289560292,16541.861821366925,1850.661879889643,13389.008597124495,71.7675631163506,4933.042029856897,23037.29691315547,24,-12920,-69540,0,0.9076116312986788,38,1.3860414,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.54065951700022,-12.917280739601598]}"
1903_0,402,0.036870113634976484,40,0,19646.254718617147,0.0,21178.96339467346,36470.97697053743,5631.2428842766185,6233.229172544289,661.4442251483812,19646.254718617147,19520.13996417463,25,-12893,-70767,0,0.9822170829442447,36,3.3621879,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.76813000004479,-12.890164441453432]}"
1908_0,231,0.11474909334047445,38,0,6794.730436437035,2634.794277337187,64437.5110136215,11155.29815698286,0.0,2053.736992498222,1574.5482971921554,6794.730436437035,28946.4600753739,25,-12966,-69672,0,0.8343896017366205,35,0.7018284,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.6735297964338,-12.965799845574285]}"
1910_0,235,0.545984815312713,38,0,14846.101861734802,23813.411357859502,39906.97713360275,23906.500416646566,38617.05087912251,2250.5584206937574,1426.9021547322866,14846.101861734802,6340.143962065078,26,-12662,-70021,0,0.8957113867024032,30,1.8353167,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.02079398834034,-12.660874100064023]}"
1917_0,377,0.016760472092539995,39,0,15835.264285346873,1457.9187686550358,15835.264285346873,36653.14423365927,0.0,4115.170004324431,718.4462323335265,25630.21100428339,23425.323780596616,27,-12929,-70822,0,0.9130264866247689,34,7.188573,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82368308383938,-12.927745476224867]}"
1919_0,264,0.2941019405122987,37,0,8841.415641568297,25222.749892602373,27822.033486322838,25313.81169298728,38812.05861418751,5267.75190325856,5084.133243518983,8841.415641568297,11060.232160597698,26,-12668,-70135,0,0.9564118318638211,32,1.3443718,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.136833499817,-12.665828610813167]}"
1922_0,222,0.008167425931207917,36,0,51955.48456507685,49130.07611345981,58501.87703202131,63030.06369644668,0.0,4709.371850217661,575.5599443799528,51955.48456507685,63149.51275654781,34,-13108,-68927,0,0.9284831556068933,38,1.693985,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.92665674509294,-13.107726558917948]}"
1925_0,331,0.014840425341883212,38,0,32098.217931518608,7449.12553766698,32098.217931518608,79795.25348121546,0.0,18405.930930237762,3399.235290419241,42730.18592029697,18651.4294652022,33,-12479,-70882,0,0.8936567991077099,38,1.1831157,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.88118195301861,-12.477220625030302]}"
1931_0,243,0.007459688682159872,34,0,48640.61051896957,39424.44646139957,59173.53527504261,58739.14163919674,0.0,3595.515489769113,773.4102637107037,48640.61051896957,63691.80799310281,37,-13173,-69175,0,0.9826614821991264,36,0.9792006,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.17579313499347,-13.17278362657691]}"
