system:index,altitude,carbon_density,distance_any,distance_buffer,distance_dep,distance_nac,distance_parks,distance_vec,distance_villages,first,landform,latitude,longitude,lossyear,offset,price_after,price_before,price_dif,scale,slope,.geo
1_2_640,244,18.468695,43772,28947,65240,43772,0,20441,55844,0,31,-13.221853509313178,-69.51208584281065,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,1.9144607,
1_2_641,353,104.696045,16741,278,16741,32213,0,5777,11182,0,21,-12.872408863790685,-70.6233018492665,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,9.557488,
1_2_642,271,80.34431,26341,0,26321,57726,6987,23079,13357,0,21,-12.496913075028726,-70.60803048943646,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,1.8993005,
1_2_643,214,74.95585,3659,3550,34344,3659,19967,1753,10276,0,24,-12.688254230546182,-69.5013060594012,0,0.0,1266.4,1411.2,-144.79999999999995,0.4,0.66406476,
1_2_644,252,95.5297,7846,7797,33121,7846,21887,2221,1502,0,24,-12.811323424470558,-70.06904131896475,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,1.328281,
1_2_645,306,102.69193,19801,2028,31102,19801,0,22883,21763,0,21,-13.092496108399967,-70.08341436351066,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,4.399409,
1_2_646,246,23.593632,196,0,38341,196,12896,3700,1181,0,31,-12.893070115325434,-70.00885419492874,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,2.7207181,
1_2_647,273,117.322075,23941,23928,24288,23941,36087,4825,10900,0,24,-12.6936441222509,-70.1732458919226,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,0.46373534,
1_2_648,261,36.742146,5385,5417,58800,5385,17825,1082,14887,0,41,-12.827493099584709,-69.82829282282071,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,2.9965737,
1_2_649,360,90.348755,31899,9187,31899,63494,0,35178,34860,0,21,-12.690050861114422,-70.91166105546885,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,1.6845655,
1_2_650,218,67.366234,35644,18950,61429,35644,0,25172,44721,0,42,-13.110462414082358,-69.4779498620141,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,0.46373534,
1_2_651,605,73.71029,4513,8896,12702,4513,10821,7029,11248,0,21,-13.173344483970725,-70.64755636193772,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,26.191338,
1_2_652,244,72.02534,8856,0,50932,8856,3985,14440,11805,0,34,-12.990986481294462,-69.90015804555027,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,2.9996684,
1_2_653,234,123.33367,26226,12650,65722,26226,0,21572,39560,0,21,-13.079021379138174,-69.58484938082432,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,1.9143918,
1_2_654,254,69.604355,3299,0,34076,3299,9695,5115,3082,0,34,-12.922714519701378,-70.04748175214587,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,1.6850609,
1_2_655,283,102.04639,8562,0,22862,8562,10055,8904,15905,0,41,-12.990986481294462,-70.16516105436554,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,0.0,
1_2_656,290,98.56163,2954,9930,2954,27214,15658,7103,7975,0,34,-12.686457599977944,-70.36907862386066,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,2.9963846,
1_2_657,323,77.72644,37067,8649,37067,69377,0,32327,29436,0,41,-12.566083351905927,-70.82991436461398,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,0.92740995,
1_2_658,288,102.89795,31770,32371,31753,35371,43571,14584,5793,0,21,-12.559795144917091,-70.09958403862481,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,2.353942,
1_2_659,237,65.78322,21826,8837,71675,21826,0,19162,32805,0,41,-13.077224748569936,-69.71330846645341,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,0.92740995,
1_2_660,354,96.66797,26994,9144,26994,73817,0,39913,28382,0,24,-12.588541234008916,-70.92423746944652,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,1.9910822,
1_2_661,273,115.45749,34916,34948,60717,34916,44575,23943,11175,0,24,-12.549015361507657,-69.83458102980956,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,1.424992,
1_2_662,902,74.03151,5288,10476,5288,15143,14001,9932,8188,0,21,-13.229938346870254,-70.81374468949983,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,17.420334,
1_2_663,294,72.20918,492,6857,492,26122,13904,4668,10989,0,21,-12.716102004353887,-70.41579101863488,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,1.4993773,
1_2_664,910,99.32742,15976,354,24483,15976,0,18507,24514,0,31,-13.218260248176701,-70.17773746834321,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,17.102085,
1_2_665,409,118.67747,5205,11890,5205,10300,21855,5913,13033,0,21,-12.908341475155465,-70.41309607278252,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,23.562275,
1_2_666,255,102.49381,26078,26023,50865,26078,41485,18583,21434,0,42,-12.533744001677626,-69.65581628826976,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,0.46373534,
1_2_667,220,75.33857,21351,21376,57796,21351,32340,8882,4948,0,41,-12.685559284693824,-69.86153048833313,0,-5.0,1266.4,1411.2,-144.79999999999995,7.1,3.3786454,
1_2_668,338,52.410137,12465,989,12465,28931,0,21542,16946,0,31,-12.977511752032669,-70.77242218643033,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,7.1019115,
1_2_669,279,111.371376,5417,7414,5417,31838,16629,5294,5954,0,31,-12.63794857463549,-70.3430274806212,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,5.8601747,
1_2_670,239,84.431206,18324,3966,67843,18324,0,17382,27631,0,31,-13.047580344193992,-69.75013939310232,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,1.3289254,
1_2_671,273,96.23077,12974,0,12898,38849,2202,4889,9649,0,31,-12.65591488031788,-70.53257200557042,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,0.46373534,
1_2_672,301,102.6622,2854,0,15212,2854,18362,4389,18982,0,24,-12.941579140667887,-70.22265323254918,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,2.7802885,
1_2_673,268,107.71831,29055,29077,56433,29055,39551,16620,3092,0,21,-12.615490692532502,-69.87051364117433,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,0.6639678,
1_2_674,416,37.8375,4824,0,5262,4824,2075,3687,5321,0,41,-13.116750621071194,-70.32236622908646,0,11.5,1266.4,1411.2,-144.79999999999995,-3.1,2.7213922,
1_2_675,415,112.748116,2185,0,9148,2185,16618,6228,13205,0,41,-12.982901643737385,-70.31428139152938,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,20.930243,
1_2_676,391,112.50529,12169,1409,12169,24038,0,19737,13877,0,21,-13.008054471692732,-70.7391845209179,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,17.60973,
1_2_677,425,85.242516,6415,0,14297,6415,2952,10307,14272,0,31,-13.207480464767267,-70.29362013999463,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,5.109802,
1_2_678,261,110.46604,17288,17208,34902,17288,31721,8612,9123,0,24,-12.721491896058605,-70.0672446883965,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,1.8543341,
1_2_679,296,68.65878,25767,2679,25683,51499,0,16207,15479,0,42,-12.606507539691306,-70.64755636193772,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,4.9703474,
1_2_680,273,88.40402,19137,19247,19137,19370,33615,1152,14671,0,24,-12.735864940604518,-70.21097513385563,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,0.9507979,
1_2_681,266,96.662834,38957,25041,58418,38957,0,12889,47557,0,21,-13.229938346870254,-69.67378259395215,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,6.290354,
1_2_682,297,87.88835,16192,0,16192,28576,11381,1650,20095,0,34,-12.801441956345242,-70.54155515841161,0,-74.5,1266.4,1411.2,-144.79999999999995,58.4,0.46373534,
1_2_683,257,111.36291,3089,0,54241,3089,8087,3272,14185,0,24,-12.838272882994143,-69.63784998258737,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,2.0837574,
1_2_684,233,26.081455,29233,15983,68254,29233,0,24567,42902,0,21,-13.109564098798238,-69.58484938082432,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,2.1174822,
1_2_685,252,103.834236,9194,9290,52297,9194,24135,3923,7351,0,31,-12.804136902197602,-69.89297152327732,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,1.3282615,
1_2_686,282,123.033264,37897,37926,61916,37897,50703,28785,23187,0,31,-12.460082148379824,-69.74295287082936,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,2.9375587,
1_2_687,267,120.1023,22553,22429,39780,22553,38890,14589,21810,0,31,-12.522964218268191,-69.55071340002777,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,4.015808,
1_2_688,308,78.41544,6167,8825,6167,19504,21045,2554,20930,0,24,-12.80503521748172,-70.43375732431727,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,1.4699525,
1_2_689,331,88.22334,36643,502,36643,53277,0,22856,33685,0,34,-12.737661571172756,-70.80386322137451,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,1.9567511,
1_2_690,407,89.784515,23200,3502,30446,23200,0,25209,32043,0,31,-13.222751824597298,-70.10227898447717,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,18.858429,
1_2_691,273,71.64456,278,3753,278,33450,9376,492,3092,0,21,-12.64064352048785,-70.41129944221429,0,4.5,1266.4,1411.2,-144.79999999999995,4.3,10.046975,
1_2_692,964,60.24537,12896,3088,17248,12896,8016,21998,19877,0,31,-13.241616445563809,-70.9233391541624,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,3.9826868,
1_2_693,490,52.80615,0,15056,19145,0,21900,3639,20616,0,31,-13.19849731192607,-70.52897874443394,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,5.429099,
1_2_694,341,87.22802,20600,5016,25250,20600,0,18221,25308,0,41,-13.1814293215278,-70.15168632510374,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,10.116377,
1_2_695,579,118.57127,4951,0,5923,4951,793,6123,5894,0,21,-13.14549671016302,-70.3385359042006,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,18.142612,
1_2_696,465,82.550255,9304,3223,9304,22478,0,20271,11020,0,31,-13.03320729964808,-70.74637104319086,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,19.910181,
1_2_697,253,71.11395,12192,0,34047,12192,98,15228,12929,0,31,-13.013444363397449,-70.06454974254414,0,57.5,1266.4,1411.2,-144.79999999999995,-11.0,2.3566976,
1_2_698,326,84.14941,36909,0,36909,52182,311,20294,32020,0,34,-12.738559886456876,-70.78050702398741,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,0.4754369,
1_2_699,349,77.22859,14026,1185,14026,26783,0,18726,15078,0,31,-12.980206697885027,-70.74367609733851,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,9.868581,
1_2_700,269,106.49271,23768,23674,26222,23768,36521,6754,11638,0,41,-12.691847491682662,-70.15527958624023,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,1.0576748,
1_2_701,249,100.98754,3675,3735,46266,3675,16456,10635,3930,0,42,-12.863425710949489,-69.93878560276741,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,2.5047145,
1_2_702,255,52.00072,20693,8205,20616,55558,13240,20271,12157,0,34,-12.460082148379824,-70.50202928591035,0,0.0,1266.4,1411.2,-144.79999999999995,0.0,1.914103,
