system:index,altitude,carbon_density,distance_any,distance_buffer,distance_dep,distance_nac,distance_parks,distance_vec,distance_villages,landform,latitude,latitude_209564535,longitude,longitude_209564535,mined,offset,price_after,price_before,price_dif,scale,slope,type,type_prev,year,.geo
614,338,90.75547,5230,0,13033,5230,17290,7699,16934,41,-12.985596589589745,,-70.2648740509028,,0,0.0,1411.2,1669,-257.79999999999995,0.0,4.657388,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.26498655587703,-12.985341065485597]}"
615,243,0.32617313,6167,6251,43928,6167,18582,8109,6429,34,-12.839171198278262,,-69.96393843072276,,0,103.0,1411.2,1669,-257.79999999999995,-30.3,0.0,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.9643347371867,-12.83961348480652]}"
616,256,62.589115,16802,2664,44766,16802,0,22004,18127,24,-13.061953388739903,,-69.96034516958628,,0,0.0,1411.2,1669,-257.79999999999995,0.0,0.47605175,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.9604881412258,-13.062322185737758]}"
617,300,108.457405,16784,0,29145,16784,440,19407,19504,31,-13.067343280444621,,-70.10317729976128,,0,0.0,1411.2,1669,-257.79999999999995,0.0,5.3016925,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.10299894230052,-13.067449460401505]}"
618,264,108.9335,7523,7596,55105,7523,20990,2247,10822,41,-12.817611631459394,,-69.8642254341855,,0,0.0,1411.2,1669,-257.79999999999995,0.0,3.451775,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.86446558282658,-12.817717986654884]}"
619,254,103.19059,1152,1217,43798,1152,13658,8707,1502,24,-12.884985277768358,,-69.95944685430216,,0,0.0,1411.2,1669,-257.79999999999995,0.0,1.0422637,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.9592535722999,-12.884659565992129]}"
620,306,106.1055,18076,354,30103,18076,0,20976,20397,21,-13.078123063854054,,-70.09329583163597,,0,0.0,1411.2,1669,-257.79999999999995,0.0,3.402007,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.09308415836576,-13.077798526134897]}"
621,282,78.929306,3175,11131,3175,23406,17479,3580,11947,34,-12.725983472479204,,-70.37806177670186,,0,0.0,1411.2,1669,-257.79999999999995,0.0,1.9566661,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.37834364631674,-12.725756068459404]}"
622,283,50.5011,8963,8860,15199,8963,27305,3194,19296,21,-12.829289730152947,,-70.23163638539037,,0,-13.5,1411.2,1669,-257.79999999999995,8.1,4.297535,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.23186459030391,-12.829544826342365]}"
623,300,80.82529,22854,2554,22762,46423,0,10970,14998,31,-12.648728358044924,,-70.6233018492665,,0,0.0,1411.2,1669,-257.79999999999995,0.0,2.549298,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.62345068027894,-12.648705615377102]}"
624,264,73.624664,4144,0,30761,4144,8092,8190,5459,24,-12.939782510099649,,-70.07892278709006,,0,17.0,1411.2,1669,-257.79999999999995,-3.4,0.66440415,0,0,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.07892962021762,-12.93979800128266]}"
