system:index,altitude,carbon_density,distance_any,distance_buffer,distance_dep,distance_nac,distance_parks,distance_vec,distance_villages,first,landform,latitude,longitude,lossyear,offset,price_after,price_before,price_dif,scale,slope,.geo
1_1_1_1_111,287,82.24334,6183,17659,6183,17419,24882,7839,17869,0,34,-12.76820429083282,-70.32506117493881,0,0.0,1571.5,1224.5,347.0,0.0,0.66417205,
1_1_1_1_112,292,91.102066,7283,12154,7283,11627,30310,3879,23250,0,24,-12.819408262027633,-70.3061965539723,0,0.0,1571.5,1224.5,347.0,0.0,1.3283036,
1_1_1_1_113,254,102.22232,20091,19995,38006,20091,34787,11050,9865,0,24,-12.6936441222509,-70.0438884910094,0,0.0,1571.5,1224.5,347.0,0.0,0.46373534,
1_1_1_1_114,259,94.493805,8497,8585,48654,8497,21367,7717,5673,0,24,-12.821204892595873,-69.92351424293739,0,0.0,1571.5,1224.5,347.0,0.0,0.46373534,
1_1_1_1_115,320,87.84659,8659,10122,8659,17938,17973,5922,18328,0,34,-12.847256035835338,-70.44992699943143,0,0.0,1571.5,1224.5,347.0,0.0,0.6642786,
1_1_1_1_116,351,91.136055,5322,5647,5351,23108,10154,5945,2047,0,31,-12.971223545043832,-70.57658945449228,0,0.0,1571.5,1224.5,347.0,0.0,4.641163,
1_1_1_1_117,250,88.517685,2598,0,45314,2598,9434,11720,3629,0,41,-12.929002726690214,-69.94507380975625,0,0.0,1571.5,1224.5,347.0,0.0,1.685074,
1_1_1_1_118,277,105.33908,10848,0,10809,36064,4669,3129,10931,0,21,-12.670287924863793,-70.51011412346743,0,0.0,1571.5,1224.5,347.0,0.0,2.1144838,
1_1_1_1_119,402,0.301138,1100,14554,1100,16198,18529,1391,3223,0,31,-13.007156156408612,-70.49753770948976,0,0.0,1571.5,1224.5,347.0,0.0,1.9587356,
1_1_1_1_120,256,105.60154,3478,3583,50712,3478,18181,6734,7153,0,34,-12.85983244981301,-69.89836141498203,0,0.0,1571.5,1224.5,347.0,0.0,1.9020057,
1_1_1_1_121,252,45.496765,6042,0,5982,37893,2938,2438,7402,0,41,-12.621778899521338,-70.46699498982969,0,46.0,1571.5,1224.5,347.0,-13.8,1.3277735,
1_1_1_1_122,273,103.42692,5583,5512,20868,5583,20534,1505,13521,0,34,-12.86162908038125,-70.17414420720672,0,0.0,1571.5,1224.5,347.0,0.0,1.0422435,
1_1_1_1_123,271,12.502591,98,3175,98,33968,9315,835,2577,0,21,-12.635253628783131,-70.41040112693017,0,25.0,1571.5,1224.5,347.0,-6.3,7.4142995,
1_1_1_1_124,315,108.015755,16925,0,27949,16925,1574,19011,20039,0,31,-13.06913991101286,-70.11395708317072,0,0.0,1571.5,1224.5,347.0,0.0,2.1172009,
1_1_1_1_125,259,77.90757,21664,21662,24148,21664,34634,5438,13184,0,21,-12.714305373785649,-70.16875431550201,0,0.0,1571.5,1224.5,347.0,0.0,3.2427514,
1_1_1_1_126,269,102.21736,8775,8761,21819,8775,23011,2854,12773,0,24,-12.831984676005305,-70.17055094607025,0,0.0,1571.5,1224.5,347.0,0.0,3.3996496,
1_1_1_1_127,296,95.10425,2841,14662,2841,17345,23248,5068,17861,0,34,-12.776289128389896,-70.35470557931475,0,0.0,1571.5,1224.5,347.0,0.0,1.6847476,
1_1_1_1_128,292,105.613235,7113,974,7113,31720,8455,4759,11494,0,21,-12.690050861114422,-70.47058825096617,0,0.0,1571.5,1224.5,347.0,0.0,1.4698826,
1_1_1_1_129,347,98.65372,17383,556,17436,28044,0,10816,9246,0,31,-12.93708756424729,-70.68259065801838,0,0.0,1571.5,1224.5,347.0,0.0,3.4006546,
1_1_1_1_130,285,1.903106,15475,2854,15475,24089,11580,2179,18024,0,31,-12.833781306573545,-70.51550401517214,0,12.5,1571.5,1224.5,347.0,-0.1,3.3256547,
1_1_1_1_131,228,94.25181,16246,16346,55337,16246,28529,3768,9962,0,21,-12.737661571172756,-69.87500521759493,0,0.0,1571.5,1224.5,347.0,0.0,4.313374,
1_1_1_1_132,254,104.2711,18623,18528,39163,18623,33380,9583,9443,0,24,-12.707118851512693,-70.03041376174761,0,0.0,1571.5,1224.5,347.0,0.0,1.0421109,
1_1_1_1_133,230,38.75703,17210,492,56500,17210,0,19287,20423,0,31,-13.054766866466947,-69.85344565077607,0,0.0,1571.5,1224.5,347.0,0.0,1.0424117,
1_1_1_1_134,249,108.04574,6032,0,51072,6032,7259,11467,9481,0,34,-12.961342076918518,-69.89476815384556,0,0.0,1571.5,1224.5,347.0,0.0,1.3909631,
1_1_1_1_135,309,12.804147,2648,4321,4036,2648,24467,749,17632,0,21,-12.910138105723705,-70.32146791380234,0,-2.0,1571.5,1224.5,347.0,8.9,4.769224,
1_1_1_1_136,439,111.390175,590,4446,590,4388,9393,529,4674,0,21,-13.072733172149338,-70.40051965880485,0,5.0,1571.5,1224.5,347.0,14.9,14.982118,
1_1_1_1_137,268,103.88233,20514,20480,23038,20514,33844,4556,14025,0,31,-12.725085157195084,-70.17683915305909,0,0.0,1571.5,1224.5,347.0,0.0,1.9566581,
1_1_1_1_138,370,110.431496,5414,13316,5414,11839,21294,6630,14462,0,31,-12.892171800041314,-70.416689333919,0,0.0,1571.5,1224.5,347.0,0.0,7.996549,
1_1_1_1_139,256,72.880615,9080,0,40729,9080,3399,12291,9466,0,24,-12.979308382600907,-69.99268451981459,0,0.0,1571.5,1224.5,347.0,0.0,0.95172197,
1_1_1_1_140,221,52.40048,20684,20712,56952,20684,31955,8078,6067,0,41,-12.6936441222509,-69.86781869532197,0,0.0,1571.5,1224.5,347.0,0.0,3.67076,
1_1_1_1_141,257,76.16148,7472,0,34869,7472,5585,9270,7297,0,34,-12.961342076918518,-70.0438884910094,0,0.0,1571.5,1224.5,347.0,0.0,0.92740995,
1_1_1_1_142,389,59.607796,501,4276,501,4232,9185,709,4472,0,31,-13.074529802717578,-70.39962134352074,0,-1.0,1571.5,1224.5,347.0,11.1,13.655913,
1_1_1_1_143,384,2.0606923,622,10252,716,19811,14970,1409,933,0,41,-12.999969634135656,-70.54155515841161,0,0.0,1571.5,1224.5,347.0,0.0,1.0587238,
1_1_1_1_144,287,104.68773,10188,12583,10188,12675,30896,5036,21437,0,24,-12.802340271629362,-70.28194204130108,0,0.0,1571.5,1224.5,347.0,0.0,1.4699507,
1_1_1_1_145,289,100.00399,5924,2622,5924,31418,8503,4939,9891,0,24,-12.683762654125585,-70.45621520642025,0,0.0,1571.5,1224.5,347.0,0.0,1.3279393,
1_1_1_1_146,283,81.030174,6219,0,20884,6219,12527,6353,15596,0,24,-12.970325229759712,-70.17683915305909,0,0.0,1571.5,1224.5,347.0,0.0,0.46373534,
1_1_1_1_147,367,88.56203,5433,6337,5433,6337,11735,1540,6947,0,31,-13.096089369536445,-70.44004553130611,0,0.0,1571.5,1224.5,347.0,2.5,9.691599,
1_1_1_1_148,284,98.95333,19545,0,19545,39525,4863,3841,17648,0,41,-12.709813797365051,-70.5918608143223,0,0.0,1571.5,1224.5,347.0,0.0,3.7349985,
