system:index,0_mined,1_mined,1_neighbors,2_mined,2_neighbors,3_mined,3_neighbors,4_mined,4_neighbors,altitude,classification,clay,cluster,distance_any,distance_buffer,distance_dep,distance_nac,distance_parks,distance_ponds,distance_rivers,distance_vec,distance_villages,landform,latitude,longitude,offset,random,sand,scale,slope,year,.geo
1_1_1_1_2_251,0,0,0,0,0,0,0,0,0,306,0.008009207986330601,37,0,23997.774680971397,33932.082315899344,34521.779452858405,52219.263703899,44674.63263554714,8207.219035393286,412.39764591880856,23997.774680971397,17370.3026519042,21,-12414,-70136,0.0,0.8444520854669507,33,0.0,6.681812,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.13660536141376,-12.414433217889133]}"
1_1_1_1_2_255,0,0,0,0,0,0,0,0,0,328,0.009156433718520028,36,0,31408.942162131796,43605.37876593107,44026.54543064492,54226.24661235611,54496.05349028152,14884.418673565991,583.2346259493258,31408.942162131796,22516.26931876496,21,-12386,-70049,0.0,0.8953867015615465,37,0.0,1.3271555,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.04901188884058,-12.386576061529698]}"
1_1_1_1_2_258,0,0,0,0,0,0,0,0,0,250,0.023217449711926425,37,0,18120.805867108604,21935.507085402653,22891.729974183636,50713.605670563156,32289.328155754498,3921.137521298826,1077.2193224919426,18120.805867108604,16023.383800616992,42,-12452,-70246,0.0,0.9698747247842697,36,0.0,2.5041351,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.24662256715436,-12.45327866306683]}"
1_1_1_1_2_262,0,0,0,0,0,0,0,0,0,293,0.051095372392654756,39,0,13302.425340385244,21488.796308701774,21893.94380612461,46124.02505506511,32497.770227295503,7369.518441894945,141.44714532953645,13302.425340385244,10668.71598696614,31,-12494,-70220,0.0,0.9746994850738996,38,0.0,6.741601,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.22059647435634,-12.494625317763472]}"
1_1_1_1_2_263,0,0,0,0,0,0,0,0,0,239,0.05814600413234126,39,0,1600.5826282950843,0.0,41435.12626305786,12014.785653185503,4023.901813257174,10451.770859785856,500.1820713422138,1600.5826282950843,17677.31472240402,31,-12849,-69496,0.0,0.8742974870718407,36,0.0,4.745669,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.49687690675684,-12.849051662316961]}"
1_1_1_1_2_264,0,0,0,0,0,0,0,0,0,293,0.17098946365931592,35,0,100.011322601181,8901.00771150511,100.011322601181,22996.733219238682,17183.91273695173,16550.58970738231,1897.5814273536457,1431.9442213053158,13731.08475769656,21,-12742,-70402,0.0,0.9236406417739225,41,0.0,2.8205216,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.4027459256567,-12.742171971628759]}"
1_1_1_1_2_270,0,0,0,0,0,0,0,0,0,234,0.03464037737378477,36,0,9439.891081876702,538.7025365185897,58929.095775797585,13591.820570580365,0.0,6749.182133900558,781.2948093399586,9439.891081876702,27016.181767487895,24,-12960,-69612,0.0,0.9227334303507698,36,0.0,0.664433,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.61243592450143,-12.960570565844549]}"
1_1_1_1_2_275,0,0,7,0,0,0,5,0,0,249,0.9518093562208844,34,0,5558.78064566336,13104.801134150222,11912.43545013007,32726.71811852771,23704.06309799051,1341.8588509158667,1253.2000651613102,5558.78064566336,2640.5048628366626,21,-12617,-70275,-1.0,0.9899612984549933,38,1.6,4.6273675,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.27530547588603,-12.61751009377748]}"
1_1_1_1_2_291,0,0,0,0,0,0,0,0,0,257,0.11698132242905143,39,0,9211.825101847693,16647.317913257924,30326.701718599506,16738.116418120724,30437.17827335742,8922.185096296655,2010.422019207037,9211.825101847693,8743.79700152664,42,-12739,-70104,0.0,0.9813258119101171,33,0.0,1.7008832,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.10404711351538,-12.738975932169426]}"
1_1_1_1_2_297,0,0,0,0,0,0,0,0,0,292,0.23867167031515696,35,0,3832.8551983710117,0.0,20248.99358513745,40063.26381894231,4561.918839591893,22116.869969881554,1264.944601059667,3832.8551983710117,18232.597917448187,24,-12710,-70599,0.0,0.9620261934467089,35,0.0,0.47538486,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.60008581060934,-12.71040754187146]}"
